#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-00-38
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1339780721.682781	CWZQMZ1844wyfufjnk	192.168.25.10	1030	211.234.100.135	80	1	GET	hyunjoo.co.kr	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1144	200	OK	-	-	-	(empty)	-	-	-	-	-	FVhCey1e3Ym9YSBeD3	binary
1339780722.600491	CKcOXC2EgsfsNWMAjg	192.168.25.10	1031	125.141.204.61	80	1	GET	www.bcp.or.kr	/popup_img/popup.js	http://hyunjoo.co.kr/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	513	200	OK	-	-	-	(empty)	-	-	-	-	-	F7v5Gg12iGYYsVZL91	text/plain
1339780722.880051	CElNK24pdqst6b0GF4	192.168.25.10	1032	204.45.119.242	80	1	GET	x8uk.info	/wm/huiwei/index.html	http://hyunjoo.co.kr/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7050	200	OK	-	-	-	(empty)	-	-	-	-	-	FInmLC214xeTdRfqSf	text/html
1339780722.966803	CElNK24pdqst6b0GF4	192.168.25.10	1032	204.45.119.242	80	2	GET	x8uk.info	/wm/huiwei/swfobject.js	http://x8uk.info/wm/huiwei/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8153	200	OK	-	-	-	(empty)	-	-	-	-	-	FmyAr5OYABkZjVkLf	text/plain
1339780723.06769	CElNK24pdqst6b0GF4	192.168.25.10	1032	204.45.119.242	80	3	GET	x8uk.info	/wm/huiwei/jpg.js	http://x8uk.info/wm/huiwei/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19883	200	OK	-	-	-	(empty)	-	-	-	-	-	FpLAzn3CCqufyRp80f	text/plain
1339780723.745688	C1M2Y8ZjAuS4mOcq3	192.168.25.10	1034	204.45.119.242	80	1	GET	x6mv.info	/m12/mm1.exe	http://x8uk.info/wm/huiwei/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	45056	200	OK	-	-	-	(empty)	-	-	-	-	-	Fc9JO03eUEEZFGChBc	application/x-dosexec
1339780723.991278	CX2bpg1B5zY2WnAc0a	192.168.25.10	1035	61.147.124.247	80	1	GET	count45.51yes.com	/click.aspx?id=457905147&logo=1	http://x8uk.info/wm/huiwei/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1777	200	OK	-	-	-	(empty)	-	-	-	-	-	FG9iaG3vghzsrSqjZ	text/html
1339780724.443488	CX2bpg1B5zY2WnAc0a	192.168.25.10	1035	61.147.124.247	80	2	GET	count45.51yes.com	/count1.gif	http://x8uk.info/wm/huiwei/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	715	200	OK	-	-	-	(empty)	-	-	-	-	-	Fcg41Y2euIHiRi8kY3	image/gif
1339780724.628315	CzKKkpe5FNdJoz6Il	192.168.25.10	1036	61.147.124.247	80	1	GET	count45.51yes.com	/sa.htm?id=457905147&refe=http://hyunjoo.co.kr/&location=http://x8uk.info/wm/huiwei/index.html&color=24x&resolution=800x600&returning=0&language=en-us&ua=Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	http://x8uk.info/wm/huiwei/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1339780724.913025	CwAFfL3wqaHHi1N9D6	192.168.25.10	1041	204.45.119.242	80	1	GET	x8uk.info	/wm/huiwei/DPNmtzr3.jpg	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2174	200	OK	-	-	-	(empty)	-	-	-	-	-	FKu46r2iAvFvzlLA9h	application/jar
1339780725.223116	CkF8qSujxWLemyLB2	192.168.25.10	1042	204.45.119.242	80	1	GET	x8uk.info	/wm/huiwei/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	1635	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FTRFDt1HwbZf6ZSGka	text/html
