#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-50-21
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1320299818.974562	CBnnY41pRrDPpcHQg1	192.168.41.10	1029	109.236.82.74	80	1	GET	thedef.in	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	232	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FpbOP53L77CQneKQee	text/html
1320299819.259061	CY1wC2hjmaoy7Tq0j	192.168.41.10	1030	109.236.82.75	80	1	GET	ghsite.in	/?site=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	51615	200	OK	-	-	-	(empty)	-	-	-	-	-	FN0eBq38Gdw0mzPzTf	text/html
1320299820.180685	CEKITg44PC0vtMyv7e	192.168.41.10	1037	109.236.82.75	80	1	GET	ghsite.in	/dl/pdf_libtiff9.php	http://ghsite.in/?site=4	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2634	200	OK	-	-	-	(empty)	-	-	-	-	-	FIsBc74lkHXiBhtDTe	application/pdf
1320299824.565397	ChtrL53I91FlYjSzsd	192.168.41.10	1038	109.236.82.75	80	1	GET	ghsite.in	/dl/dl.php?6	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	175616	200	OK	-	-	-	(empty)	-	-	-	-	-	FdyG6HWxQ56WjzmR6	application/x-dosexec
1320299825.751708	CPkETwP9PtL1F2QEb	192.168.41.10	1046	109.236.82.75	80	1	GET	ghsite.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5930	200	OK	-	-	-	(empty)	-	-	-	-	-	FTwXOo4PybNZr8CQF5	application/jar
1320299825.748273	CvRpgi3NyyAu8k16l9	192.168.41.10	1040	109.236.82.75	80	1	GET	1844204107	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FmmMej4CMkAVyaAoVh	application/x-java-applet
1320299825.749277	CnLTxx4Fz2YDf7Cmv3	192.168.41.10	1042	109.236.82.75	80	1	GET	1844204107	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FMrbU82IbH6ozox8de	application/x-java-applet
1320299825.746145	CD3j5f12wZuq3rKBha	192.168.41.10	1047	109.236.82.75	80	1	GET	1844204107	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FWxuqL1AzunJKGaFp9	application/x-java-applet
1320299825.747967	CyGPcFHI8Bxzagip1	192.168.41.10	1041	109.236.82.75	80	1	GET	1844204107	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FR9MQ63T9PoqGHP7Lk	application/x-java-applet
1320299825.750326	CwCjcy2xSG3d9xKbrg	192.168.41.10	1045	109.236.82.75	80	1	GET	1844204107	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FHHRHv0eD5uNiHDni	application/x-java-applet
1320299825.754224	CyfEmN3nID2dK9edAl	192.168.41.10	1043	109.236.82.75	80	1	GET	1844204107	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FmWJVj4RM43dh6jXnh	application/x-java-applet
1320299825.727837	CwJLSD2iq2SDqLP4P6	192.168.41.10	1039	94.63.240.112	80	1	GET	gfjdyrfcb.net	/info.php?rnd=787748	-	-	0	42	200	OK	-	-	-	(empty)	-	-	-	-	-	Fa9VKn4B0O8ELv7f9f	text/plain
1320299825.754606	CS3P2g2rKBl3hp2pOg	192.168.41.10	1044	109.236.82.75	80	1	GET	ghsite.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19279	200	OK	-	-	-	(empty)	-	-	-	-	-	FsMGkc14AVT4xnMHU1	application/jar
1320299826.098702	C66vnL1N6wgfcdlEf7	192.168.41.10	1048	109.236.82.75	80	1	GET	ghsite.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5930	200	OK	-	-	-	(empty)	-	-	-	-	-	Fs9NFA3ew7n0lz142	application/jar
#close	2014-04-03-09-50-22
