#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-51-03
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1322703352.457262	C2lE1V3DEePLwili8k	192.168.45.10	1030	95.168.165.224	80	1	GET	steeltoys.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	236	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FP8Obf4T2NdOpgRcBd	text/html
1322703352.622632	ChgyEr4hGt1ZpFXuod	192.168.45.10	1031	149.255.33.229	80	1	GET	bestfilms1.in	/?site=3	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1322703352.764862	CVaR9q2iTDfXePHSM9	192.168.45.10	1032	109.123.116.51	80	1	GET	googleads5.in	/redir.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	349	200	OK	-	-	-	(empty)	-	-	-	-	-	FUVdC438mwcpDdh0h5	text/html
1322703353.013377	CDZMUIWEoQt2YcK0i	192.168.45.10	1036	109.123.116.51	80	1	GET	googleads5.in	/in.cgi?default	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	186	302	Found	-	-	-	(empty)	-	-	-	-	-	FNqdt7hrzSxKm6tIc	text/html
1322703353.415958	CitlPG3Mm0KvWCcvme	192.168.45.10	1037	149.255.33.229	80	1	GET	portal1for8.in	/?site=8	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	154	200	OK	-	-	-	(empty)	-	-	-	-	-	F4TZq21PNzS8bD65p5	text/html
1322703355.082218	CZs2RQ2SupJ0H44a2l	192.168.45.10	1042	149.255.33.229	80	1	GET	portal1for8.in	/?106c91660096df526c3bdce007721da8	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3989	200	OK	-	-	-	(empty)	-	-	-	-	-	FqBoxe4wJGz5MA3ui9	application/jar
1322703355.174728	CHFtol4tBndH4QNRj2	192.168.45.10	1043	149.255.33.229	80	1	GET	portal1for8.in	/?106c91660096df526c3bdce007721da8	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3989	200	OK	-	-	-	(empty)	-	-	-	-	-	FSBPnc4xt7TTqqo0R	application/jar
1322703355.332784	COjwH3dEZZSv28So9	192.168.45.10	1044	149.255.33.229	80	1	GET	portal1for8.in	/?106c91660096df526c3bdce007721da8	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3989	200	OK	-	-	-	(empty)	-	-	-	-	-	FsekkZ2onLh3gAHt5l	application/jar
1322703355.477727	CGlHI92Z2AwvBjy784	192.168.45.10	1045	149.255.33.229	80	1	GET	portal1for8.in	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fo5gHs3pRWObarl2mf	text/html
1322703355.553442	CKx9OJLQi5ubLUO36	192.168.45.10	1046	149.255.33.229	80	1	GET	portal1for8.in	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fs7SRx23ckeHnHeWMd	text/html
1322703355.635088	C8YyIJ1YLiWPwTfvte	192.168.45.10	1047	149.255.33.229	80	1	GET	portal1for8.in	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FK5TsN1Hw6Dwu5eGd2	text/html
