#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-11-07-40
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1338063854.475172	CHBSKK1tQdVC9EGQte	192.168.60.10	1042	199.21.148.89	80	unescaped_special_URI_char	-	F	bro
1338063854.945347	-	-	-	-	-	unknown_protocol_2	-	F	bro
1338063859.923789	CyjjGf3ASnn6AlIjb1	192.168.60.10	1066	74.125.71.139	80	SYN_after_reset	-	F	bro
1338063860.087362	CyjjGf3ASnn6AlIjb1	192.168.60.10	1066	74.125.71.139	80	data_after_reset	-	F	bro
1338063894.80046	C2baVp2yAKlNLxvBSa	192.168.60.10	1077	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1338063894.866665	Cwe0fz3PwzTJ0n8pnf	192.168.60.10	1079	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1338063895.115439	CuxXzhdaUYac4To6l	192.168.60.10	1081	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1338063895.178954	CObHDl1j6uk1y7TSq1	192.168.60.10	1083	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1338063895.472204	C6dRea3ROG9LeR2Qp7	192.168.60.10	1085	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1338063895.658933	C46EHh4cKj8XQ778nd	192.168.60.10	1087	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1338063898.852085	CvvGe525AbzmqEsZEh	192.168.60.10	1091	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1338063899.225002	ChpYwP1aAlshz45fcj	192.168.60.10	1094	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1338063899.282921	CxvLcGAeinj5ABY9d	192.168.60.10	1096	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
#close	2014-04-03-11-07-40
