#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-30-45
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1364502845.829087	CVMOj9FF5iJzHz7Aj	192.168.18.10	1030	173.214.253.85	80	1	GET	free-mp-3downloads.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1364502846.047429	C60Dck1oJWBnbKDPld	192.168.18.10	1031	65.49.23.3	80	1	GET	emergency.microsoft.security.software.patch.update.acx.1rapilto.info	/?c8abea6c406698f7ce3b6e6bdc6cb208=j10&e74229eca2a35414b0c5875e8e78b0e4=free-mp-3downloads.net	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1702	200	OK	-	-	-	(empty)	-	-	-	-	-	FxcWIj2jOIYtgMLeF	text/html
1364502846.190381	CUtXw11WsdyiN7umx7	192.168.18.10	1032	65.49.23.3	80	1	GET	emergency.microsoft.security.software.patch.update.acx.1rapilto.info	/659b00d7c8e8533cb442de91e31e03f3.eot	http://emergency.microsoft.security.software.patch.update.acx.1rapilto.info/?c8abea6c406698f7ce3b6e6bdc6cb208=j10&e74229eca2a35414b0c5875e8e78b0e4=free-mp-3downloads.net	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4201	200	OK	-	-	-	(empty)	-	-	-	-	-	FOUtSw3v5QdmilwEd1	application/vnd.ms-fontobject
1364502848.115248	CTN0PB4PAgTPSgtTs3	192.168.18.10	1034	65.49.23.3	80	1	GET	65.49.23.3	/?466dd4e9def4bf4d10c4bf37450d72b3	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	55808	200	OK	-	-	-	(empty)	-	-	-	-	-	FLLyUG2QY8epMMwQY3	application/x-dosexec
1364502848.690231	CrxT4q2fbGkOay1Z6h	192.168.18.10	1035	65.49.23.3	80	1	GET	emergency.microsoft.security.software.patch.update.acx.1rapilto.info	/21c745386f4b5e0fcc3abcf24cf25dbd/1fa5a4d8942d18e0df346fa9bb86ad42.swf	http://emergency.microsoft.security.software.patch.update.acx.1rapilto.info/?c8abea6c406698f7ce3b6e6bdc6cb208=j10&e74229eca2a35414b0c5875e8e	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FslESl3brnSASenW4	text/html
1364502853.122827	CYjIunyVr4N0Xii0a	192.168.18.10	1040	65.49.23.3	80	1	GET	emergency.microsoft.security.software.patch.update.acx.1rapilto.info	/0bcb6cb473c45365935236c5c60d0ebf/6eba92d26baf0a5521d33d90f6c1ae9e.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3114	200	OK	-	-	-	(empty)	-	-	-	-	-	FcmPIh4k1ShiH3qUV2	application/zip
1364502853.124359	CrnXlY3184rslTR5X	192.168.18.10	1041	65.49.23.3	80	1	GET	emergency.microsoft.security.software.patch.update.acx.1rapilto.info	/21c745386f4b5e0fcc3abcf24cf25dbd/51fc28071a0fe36032c97cd444f1c8dc.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9958	200	OK	-	-	-	(empty)	-	-	-	-	-	F0cwNs1RdtFLlyMtWl	application/jar
1364502853.340257	CNww5432PgTJ1WeKs6	192.168.18.10	1042	65.49.23.3	80	1	GET	emergency.microsoft.security.software.patch.update.acx.1rapilto.info	/21c745386f4b5e0fcc3abcf24cf25dbd/51fc28071a0fe36032c97cd444f1c8dc.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9958	200	OK	-	-	-	(empty)	-	-	-	-	-	FKoy3G4FC8e5rDxkHb	application/jar
1364502853.352321	CaIMwe45UF3ZXqRlx4	192.168.18.10	1043	65.49.23.3	80	1	GET	emergency.microsoft.security.software.patch.update.acx.1rapilto.info	/0bcb6cb473c45365935236c5c60d0ebf/6eba92d26baf0a5521d33d90f6c1ae9e.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3114	200	OK	-	-	-	(empty)	-	-	-	-	-	FuZqb732jgnkSCQ44h	application/zip
1364502858.209049	CwvSkN2ff2QQfTball	192.168.18.10	1044	65.49.23.3	80	1	GET	emergency.microsoft.security.software.patch.update.acx.1rapilto.info	/21c745386f4b5e0fcc3abcf24cf25dbd/51fc28071a0fe36032c97cd444f1c8dc.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9958	200	OK	-	-	-	(empty)	-	-	-	-	-	F3joxG1kJMhf8rROb6	application/jar
1364502858.455577	C1usny1qrqSYdjeDAb	192.168.18.10	1045	65.49.23.3	80	1	GET	emergency.microsoft.security.software.patch.update.acx.1rapilto.info	/21c745386f4b5e0fcc3abcf24cf25dbd/0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	55808	200	OK	-	-	-	(empty)	-	-	-	-	-	FXuImU3OaEDjolgV0j	binary
1364502860.47711	C7dUjNV0hhtlcS3Pj	192.168.18.10	1046	65.49.23.3	80	1	GET	emergency.microsoft.security.software.patch.update.acx.1rapilto.info	/21c745386f4b5e0fcc3abcf24cf25dbd/1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	130560	200	OK	-	-	-	(empty)	-	-	-	-	-	Fq36vH3P8r6lRCnN7e	binary
1364502861.505729	C3sdGm1MWvdH919Uad	192.168.18.10	1047	65.49.23.3	80	1	GET	emergency.microsoft.security.software.patch.update.acx.1rapilto.info	/21c745386f4b5e0fcc3abcf24cf25dbd/2	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FhKpRM3tygrJlsB2eb	text/html
1364502861.752994	ClTQcYu9t1dyfZLj7	192.168.18.10	1048	65.49.23.3	80	1	GET	emergency.microsoft.security.software.patch.update.acx.1rapilto.info	/21c745386f4b5e0fcc3abcf24cf25dbd/3	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FDTpja4pNskBevfqZj	text/html
1364502861.941837	C2l64z4DjT0drCLaF3	192.168.18.10	1049	65.49.23.3	80	1	GET	emergency.microsoft.security.software.patch.update.acx.1rapilto.info	/21c745386f4b5e0fcc3abcf24cf25dbd/4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	78848	200	OK	-	-	-	(empty)	-	-	-	-	-	FSZprM2QUJpbWL7a01	binary
#close	2014-04-03-10-30-45
