#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-01-09
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1322831976.018025	CDg2EG2ZDw5iUUAmr4	192.168.64.10	1030	109.236.82.78	80	1	GET	tempdom5.info	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	237	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FbNSFmlYe7NZRfO4h	text/html
1322831976.222231	CG8yFj4VYaZeNLC9q1	192.168.64.10	1031	109.236.82.79	80	1	GET	softportal2.in	/?site=5	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	154	200	OK	-	-	-	(empty)	-	-	-	-	-	FM5UAzwkHZv6O6Iai	text/html
1322831978.106939	CkhxHF3WeyGuQUjiHk	192.168.64.10	1032	109.236.82.79	80	1	GET	softportal2.in	/?d5fb6b0657334e234d731bb0780ed5a8	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3990	200	OK	-	-	-	(empty)	-	-	-	-	-	FImLgXQAAJEeR0Md	application/jar
1322831978.339395	CFlFwb2RQRtGnvct	192.168.64.10	1037	109.236.82.79	80	1	GET	softportal2.in	/?d5fb6b0657334e234d731bb0780ed5a8	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3990	200	OK	-	-	-	(empty)	-	-	-	-	-	FdAGTl1dBmTtbwJCib	application/jar
1322831978.615379	C5Nps348VoinnhYMh3	192.168.64.10	1038	109.236.82.79	80	1	GET	softportal2.in	/?d5fb6b0657334e234d731bb0780ed5a8	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3990	200	OK	-	-	-	(empty)	-	-	-	-	-	F0c8Ok2EQ469QMdClg	application/jar
1322831978.886251	CtLvJE4tId1VYxKC9h	192.168.64.10	1039	109.236.82.79	80	1	GET	softportal2.in	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FXmrBi2JlTOXwFlofl	text/html
1322831979.094259	CCWS8A1nFQvRaRpEj	192.168.64.10	1040	109.236.82.79	80	1	GET	softportal2.in	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FOFhCM23eLUWuju9s3	text/html
1322831979.304658	CQvM771YixHMQc22xd	192.168.64.10	1041	109.236.82.79	80	1	GET	softportal2.in	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FEOpdHGUJebB6DwAb	text/html
1322831979.520715	CfE32h1EZ3rO5DHVmg	192.168.64.10	1042	109.236.82.79	80	1	GET	softportal2.in	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F4NotH2fCw8I0ADt5l	text/html
1322831979.920057	CbUtAS1Bmp5Q3FQJa8	192.168.64.10	1043	109.236.82.79	80	1	GET	softportal2.in	/?32239a7ea1f5ed640ddab54e53fd0aa4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	285696	200	OK	-	-	-	(empty)	-	-	-	-	-	FHUhPf22MfjKlGWUic	application/x-dosexec
1322831981.455037	CKUqwt2Dymd2g29bEa	192.168.64.10	1045	93.174.93.114	80	1	GET	wabypukov.com	/1018000112	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)	0	2	200	OK	-	-	-	(empty)	-	-	-	-	-	FqVhy6wlicFLQdA45	text/plain
#close	2014-04-03-11-01-09
