#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-19-25
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1331339897.038544	CeyHt82yR8S0gDibye	192.168.89.10	1033	69.164.10.214	80	5	GET	assets.phoenixnewtimes.com	/img/nav_search_background.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1450	200	OK	-	-	-	(empty)	-	-	-	-	-	F4iL92401ezI59gw	image/jpeg
1331339897.039333	CqZFlz3USga6yUDKF2	192.168.89.10	1039	69.164.10.161	80	2	GET	media.phoenixnewtimes.com	/7696289.75.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4977	200	OK	-	-	-	(empty)	-	-	-	-	-	Fj3P9B4kuW4RiLV8m3	image/jpeg
1331339897.03912	CmPWgH3lpJrrGv5s05	192.168.89.10	1038	69.164.10.214	80	2	GET	assets.phoenixnewtimes.com	/img/nav_bottom_template_both.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19275	200	OK	-	-	-	(empty)	-	-	-	-	-	F3myAG1gINUpKXE57j	image/jpeg
1331339897.038901	CmTbRe40PTMIfRsFt5	192.168.89.10	1040	69.164.10.161	80	2	GET	media.phoenixnewtimes.com	/7696816.128.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	21043	200	OK	-	-	-	(empty)	-	-	-	-	-	FaMMin2iGhCU10TOEb	image/jpeg
1331339897.03955	CIEp8K3dZ1SWkqzLJ1	192.168.89.10	1036	192.204.3.26	80	2	GET	imagec12.247realmedia.com	/RealMedia/ads/Creatives/TheVoice/phx_house-BestOf_072911_Pen/bestof_wired_975x30.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	20328	200	OK	-	-	-	(empty)	-	-	-	-	-	F30s0c4g26VvtQ7gvj	image/jpeg
1331339896.949725	CyfYqE3LzRvY1QPmi2	192.168.89.10	1041	208.111.185.209	80	1	GET	blogs.phoenixnewtimes.com	/uponsun/clubhousefeat.JPG	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8338	200	OK	-	-	-	(empty)	-	-	-	-	-	F2giBP23zHHxLGwJNk	image/jpeg
1331339897.097853	CeyHt82yR8S0gDibye	192.168.89.10	1033	69.164.10.214	80	6	GET	assets.phoenixnewtimes.com	/img/tripleline.png	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2801	200	OK	-	-	-	(empty)	-	-	-	-	-	FgTNv74FTYBpavNBaf	image/png
1331339897.09818	CmTbRe40PTMIfRsFt5	192.168.89.10	1040	69.164.10.161	80	3	GET	media.phoenixnewtimes.com	/7697683.75.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5676	200	OK	-	-	-	(empty)	-	-	-	-	-	FtKe5x4DPrOjAf1Mae	image/jpeg
1331339897.117015	CqZFlz3USga6yUDKF2	192.168.89.10	1039	69.164.10.161	80	3	GET	media.phoenixnewtimes.com	/7697430.75.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3986	200	OK	-	-	-	(empty)	-	-	-	-	-	F0gezq2QiusOb9hXs4	image/jpeg
1331339896.950055	C0iYJ84fLnEjDaMhlj	192.168.89.10	1042	208.111.185.209	80	1	GET	blogs.phoenixnewtimes.com	/jackalope/dothisweekendft.png	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	197107	200	OK	-	-	-	(empty)	-	-	-	-	-	FuqTO93WO3Pxqxgyag	image/png
