#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-00-22
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1339087227.589348	C88Z431KJXmFIEHPR3	192.168.41.10	1030	173.201.140.72	80	1	GET	ebullientech.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1339087228.041466	CiP5S83q0FaMN7Axd	192.168.41.10	1031	173.201.140.72	80	1	GET	www.ebullientech.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13707	200	OK	-	-	-	(empty)	-	-	-	-	-	FiMLii4uaTpJoYMbye	text/html
1339087228.620283	CqQZdm3IcLbe8R0XD7	192.168.41.10	1032	173.201.140.72	80	1	GET	www.ebullientech.com	/wp-includes/js/l10n.js?ver=20101110	http://www.ebullientech.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	308	200	OK	-	-	-	(empty)	-	-	-	-	-	F1tRMD4zCNG9eEYxKi	text/plain
1339087228.58111	CiP5S83q0FaMN7Axd	192.168.41.10	1031	173.201.140.72	80	2	GET	www.ebullientech.com	/wp-content/themes/enterprise/style.css	http://www.ebullientech.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	34063	200	OK	-	-	-	(empty)	-	-	-	-	-	Fmf3QM3xKDnmQpWYQd	text/plain
1339087228.741828	CqQZdm3IcLbe8R0XD7	192.168.41.10	1032	173.201.140.72	80	2	GET	www.ebullientech.com	/wp-includes/js/jquery/jquery.js?ver=1.6.1	http://www.ebullientech.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	91363	200	OK	-	-	-	(empty)	-	-	-	-	-	FiC1SD3oCOVQfN4aXg	text/html
1339087229.381199	CqQZdm3IcLbe8R0XD7	192.168.41.10	1032	173.201.140.72	80	3	GET	www.ebullientech.com	/wp-content/uploads/2011/11/design.jpg	http://www.ebullientech.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	28631	200	OK	-	-	-	(empty)	-	-	-	-	-	Fvj8m71sXmMSKNSUb7	image/jpeg
1339087229.380863	CiP5S83q0FaMN7Axd	192.168.41.10	1031	173.201.140.72	80	3	GET	www.ebullientech.com	/wp-content/uploads/2011/11/content.jpg	http://www.ebullientech.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	17308	200	OK	-	-	-	(empty)	-	-	-	-	-	F7Ijd51NNN6ADmPlN5	image/jpeg
1339087229.575207	CqQZdm3IcLbe8R0XD7	192.168.41.10	1032	173.201.140.72	80	4	GET	www.ebullientech.com	/wp-content/uploads/2011/11/facebook.jpg	http://www.ebullientech.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	26273	200	OK	-	-	-	(empty)	-	-	-	-	-	FM81oa4B2xDpqSnGR7	image/jpeg
1339087229.575519	CiP5S83q0FaMN7Axd	192.168.41.10	1031	173.201.140.72	80	4	GET	www.ebullientech.com	/wp-content/uploads/2011/11/internet-marketing.jpg	http://www.ebullientech.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	22050	200	OK	-	-	-	(empty)	-	-	-	-	-	Fruh0meIfMqy5lsub	image/jpeg
1339087229.681283	CiP5S83q0FaMN7Axd	192.168.41.10	1031	173.201.140.72	80	5	GET	www.ebullientech.com	/wp-content/uploads/2011/09/development-280x80.jpg	http://www.ebullientech.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5721	200	OK	-	-	-	(empty)	-	-	-	-	-	FlozMc2YLincfJyah4	image/jpeg
1339087229.681033	CqQZdm3IcLbe8R0XD7	192.168.41.10	1032	173.201.140.72	80	5	GET	www.ebullientech.com	/wp-content/uploads/2011/11/reputation1.jpg	http://www.ebullientech.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43242	200	OK	-	-	-	(empty)	-	-	-	-	-	Fl77wF1StUQPxuWRR	image/jpeg
1339087229.747445	CiP5S83q0FaMN7Axd	192.168.41.10	1031	173.201.140.72	80	6	GET	www.ebullientech.com	/wp-content/uploads/2011/11/internet-marketing1-280x80.jpg	http://www.ebullientech.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6498	200	OK	-	-	-	(empty)	-	-	-	-	-	FRrSD03ntwxlC8Zvze	image/jpeg
