#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-46-26
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327132849.950817	CW59n8N3sPtnMNCSf	192.168.19.10	1030	178.158.100.223	80	1	GET	9v4.nettingrobbie.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1327132850.636666	CNaXCV1RsrbecP51v2	192.168.19.10	1031	50.18.158.185	80	1	GET	frameee.net	/main.php?id=7ba7cfd9c278b295	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	80012	200	OK	-	-	-	(empty)	-	-	-	-	-	Fr3Yne3C1JbsjkNoG6	text/html
1327132862.900238	CNaXCV1RsrbecP51v2	192.168.19.10	1031	50.18.158.185	80	2	GET	frameee.net	/w.php?f=23&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	81408	200	OK	-	-	-	(empty)	-	-	-	-	-	FQmXnd4SZBdAABNV7b	application/x-dosexec
1327132864.622516	CNaXCV1RsrbecP51v2	192.168.19.10	1031	50.18.158.185	80	3	GET	frameee.net	/content/fdp2.php?f=23	http://frameee.net/main.php?id=7ba7cfd9c278b295	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	90844	200	OK	-	-	-	(empty)	-	-	-	-	-	FHLksn4xmUoGrgZkt	application/pdf
1327132869.755351	CNaXCV1RsrbecP51v2	192.168.19.10	1031	50.18.158.185	80	4	GET	frameee.net	/content/field.swf	http://frameee.net/main.php?id=7ba7cfd9c278b295	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1464	200	OK	-	-	-	(empty)	-	-	-	-	-	FWC308BVwa5brODY7	application/x-shockwave-flash
1327132873.199526	CY4Bl827UFAjrRtXN8	192.168.19.10	1038	8.26.209.126	80	1	GET	www.download.windowsupdate.com	/msdownload/update/v3/static/trustedr/en/authrootseq.txt	-	Microsoft-CryptoAPI/5.131.2600.2180	0	18	200	OK	-	-	-	(empty)	-	-	-	-	-	FtfmUz1rqcgiK5C8x3	text/plain
1327132873.209925	CY4Bl827UFAjrRtXN8	192.168.19.10	1038	8.26.209.126	80	2	GET	www.download.windowsupdate.com	/msdownload/update/v3/static/trustedr/en/authrootstl.cab	-	Microsoft-CryptoAPI/5.131.2600.2180	0	47186	200	OK	-	-	-	(empty)	-	-	-	-	-	F0MW0a1JLYRqQyUKwg	application/vnd.ms-cab-compressed
1327132874.205752	CNaXCV1RsrbecP51v2	192.168.19.10	1031	50.18.158.185	80	5	GET	frameee.net	/w.php?f=23&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	81408	200	OK	-	-	-	(empty)	-	-	-	-	-	Fyfkd1F3uoYf4NVn5	application/x-dosexec
1327132875.774835	C0vz783dtMUMErso4	192.168.19.10	1036	50.18.158.185	80	1	GET	frameee.net	/content/v1.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4408	200	OK	-	-	-	(empty)	-	-	-	-	-	FCLMyA4eoawFCBMky1	application/zip
1327132878.18377	CLeP0m3ztAQLJR1tMg	192.168.19.10	1039	74.125.45.99	80	1	GET	google.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	219	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	Fuvb9m3W4sY6WkXNxh	text/html
1327132878.196822	CFUTmlDoxSYXT1iTe	192.168.19.10	1040	74.125.45.104	80	1	GET	www.google.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19317	200	OK	-	-	-	(empty)	-	-	-	-	-	FisSq122niFmHiKmK7	text/html
1327132878.665738	CFUTmlDoxSYXT1iTe	192.168.19.10	1040	74.125.45.104	80	2	GET	www.google.com	/intl/en_ALL/images/srpr/logo1w.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7330	200	OK	-	-	-	(empty)	-	-	-	-	-	FXA4xt3AxI4vaJKUqh	image/png
1327132878.687027	CWXHIh2p0oo3MscDJ	192.168.19.10	1041	74.125.45.104	80	1	GET	www.google.com	/images/srpr/nav_logo80.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35636	200	OK	-	-	-	(empty)	-	-	-	-	-	FYxEjY3PU2crDD8F2e	image/png
1327132878.715624	CFUTmlDoxSYXT1iTe	192.168.19.10	1040	74.125.45.104	80	3	GET	www.google.com	/images/mgyhp_sm.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	331	200	OK	-	-	-	(empty)	-	-	-	-	-	FcvUXh2LeZ9O9gh07c	image/png
