#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-05-16
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1339325659.849619	CfsaJH23w9v78vkxYb	192.168.126.10	1032	74.208.54.219	80	7	GET	www.regencypointeretirement.com	/wp-content/themes/fallseason/images/rotate03.jpg	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13378	200	OK	-	-	-	(empty)	-	-	-	-	-	FbrRmd24CwfvNYFMBk	image/jpeg
1339325659.940813	CfsaJH23w9v78vkxYb	192.168.126.10	1032	74.208.54.219	80	8	GET	www.regencypointeretirement.com	/wp-content/themes/fallseason/images/menubg.gif	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	498	200	OK	-	-	-	(empty)	-	-	-	-	-	FXaMDs4PYKumOAayIh	image/gif
1339325660.014203	CfsaJH23w9v78vkxYb	192.168.126.10	1032	74.208.54.219	80	9	GET	www.regencypointeretirement.com	/wp-content/themes/fallseason/images/db3.gif	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	518	200	OK	-	-	-	(empty)	-	-	-	-	-	FpvItH1WTGZKBnyXnk	image/gif
1339325660.090531	CfsaJH23w9v78vkxYb	192.168.126.10	1032	74.208.54.219	80	10	GET	www.regencypointeretirement.com	/wp-content/themes/fallseason/images/icon-more.gif	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	72	200	OK	-	-	-	(empty)	-	-	-	-	-	F0Bu742f3M9FjsC2V1	image/gif
1339325660.199332	CfsaJH23w9v78vkxYb	192.168.126.10	1032	74.208.54.219	80	11	GET	www.regencypointeretirement.com	/wp-content/themes/fallseason/images/icon-comments.gif	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	70	200	OK	-	-	-	(empty)	-	-	-	-	-	FoWyLMe2N0LxseHnk	image/gif
1339325660.309601	CfsaJH23w9v78vkxYb	192.168.126.10	1032	74.208.54.219	80	12	GET	www.regencypointeretirement.com	/wp-content/themes/fallseason/images/boxbg.gif	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	310	200	OK	-	-	-	(empty)	-	-	-	-	-	FsGlxo4pkhLeH8045	image/gif
1339325659.850049	C8oCqI1AMq5YT8Q4b6	192.168.126.10	1031	74.208.54.219	80	8	GET	www.regencypointeretirement.com	/wp-content/uploads/2011/03/bg.jpg	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	220811	200	OK	-	-	-	(empty)	-	-	-	-	-	FpayAc3MGWX3FP7Bfk	image/jpeg
1339325660.388754	CfsaJH23w9v78vkxYb	192.168.126.10	1032	74.208.54.219	80	13	GET	www.regencypointeretirement.com	/wp-includes/js/thickbox/thickbox.js?ver=3.1-20111117	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12501	200	OK	-	-	-	(empty)	-	-	-	-	-	F7BLrG1aXuSGurDOjd	text/plain
1339325660.478657	CsrGRE2lnRH35nodJ3	192.168.126.10	1037	216.211.172.40	80	1	GET	lite.piclens.com	/current/piclens_optimized.js?ver=3.3.2	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	21750	200	OK	-	-	-	(empty)	-	-	-	-	-	F4Z9Zw2Rrm8EAbKIwh	text/plain
1339325660.459374	C8oCqI1AMq5YT8Q4b6	192.168.126.10	1031	74.208.54.219	80	9	GET	www.regencypointeretirement.com	/wp-content/themes/fallseason/images/topbg.gif	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3501	200	OK	-	-	-	(empty)	-	-	-	-	-	FbLLOL1LcGxcGbtWub	image/gif
