#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-08-58
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327524488.174314	CBipNW1pONbjRLT24l	192.168.34.10	1030	70.87.76.162	80	1	GET	hahaaustralia.com.au	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1327524511.627277	CVAEwY3iGmv0UwYzTe	192.168.34.10	1036	70.87.76.162	80	1	GET	www.hahaaustralia.com.au	/wp-content/themes/TheCorporation/style.css	http://www.hahaaustralia.com.au/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	26223	200	OK	-	-	-	(empty)	-	-	-	-	-	FTTroa2gujntGfmj7a	text/plain
1327524511.823771	CVAEwY3iGmv0UwYzTe	192.168.34.10	1036	70.87.76.162	80	2	GET	www.hahaaustralia.com.au	/wp-content/themes/TheCorporation/css/ie6style.css	http://www.hahaaustralia.com.au/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	844	200	OK	-	-	-	(empty)	-	-	-	-	-	FPLO6e14nzQKxo5W1c	text/plain
1327524511.897064	CVAEwY3iGmv0UwYzTe	192.168.34.10	1036	70.87.76.162	80	3	GET	www.hahaaustralia.com.au	/wp-content/themes/TheCorporation/js/DD_belatedPNG_0.0.8a-min.js	http://www.hahaaustralia.com.au/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7019	200	OK	-	-	-	(empty)	-	-	-	-	-	F5ctZW3PXzyFd0j9yg	text/plain
1327524512.058117	CVAEwY3iGmv0UwYzTe	192.168.34.10	1036	70.87.76.162	80	4	GET	www.hahaaustralia.com.au	/wp-content/themes/TheCorporation/epanel/page_templates/js/fancybox/jquery.fancybox-1.3.4.css	http://www.hahaaustralia.com.au/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8581	200	OK	-	-	-	(empty)	-	-	-	-	-	FODYDD4KlEwi2lFgG3	text/plain
1327524512.183671	CVAEwY3iGmv0UwYzTe	192.168.34.10	1036	70.87.76.162	80	5	GET	www.hahaaustralia.com.au	/wp-content/themes/TheCorporation/epanel/page_templates/page_templates.css	http://www.hahaaustralia.com.au/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8706	200	OK	-	-	-	(empty)	-	-	-	-	-	FJonon2bucmjSLx1Bk	text/plain
1327524512.280837	CVAEwY3iGmv0UwYzTe	192.168.34.10	1036	70.87.76.162	80	6	GET	www.hahaaustralia.com.au	/wp-content/themes/TheCorporation/epanel/shortcodes/shortcodes.css?ver=1.7	http://www.hahaaustralia.com.au/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	27164	200	OK	-	-	-	(empty)	-	-	-	-	-	FOgx8h1YJA5LNEXUKe	text/plain
1327524512.386029	CVAEwY3iGmv0UwYzTe	192.168.34.10	1036	70.87.76.162	80	7	GET	www.hahaaustralia.com.au	/wp-includes/js/l10n.js?ver=20101110	http://www.hahaaustralia.com.au/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	308	200	OK	-	-	-	(empty)	-	-	-	-	-	FDBdGsbXXgSnhGS8	text/plain
1327524512.470737	CVAEwY3iGmv0UwYzTe	192.168.34.10	1036	70.87.76.162	80	8	GET	www.hahaaustralia.com.au	/wp-includes/js/jquery/jquery.js?ver=1.4.4	http://www.hahaaustralia.com.au/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	78620	200	OK	-	-	-	(empty)	-	-	-	-	-	FfqapX1NkDc4pNg5Vh	text/plain
1327524512.718649	CVAEwY3iGmv0UwYzTe	192.168.34.10	1036	70.87.76.162	80	9	GET	www.hahaaustralia.com.au	/wp-content/themes/TheCorporation/epanel/shortcodes/js/et_shortcodes_frontend.js?ver=1.7	http://www.hahaaustralia.com.au/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8417	200	OK	-	-	-	(empty)	-	-	-	-	-	FmXYLh1SM4Ox2R4HH6	text/plain
1327524512.833173	CVAEwY3iGmv0UwYzTe	192.168.34.10	1036	70.87.76.162	80	10	GET	www.hahaaustralia.com.au	/wp-content/uploads/2011/07/logo33.png	http://www.hahaaustralia.com.au/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	16583	200	OK	-	-	-	(empty)	-	-	-	-	-	Fyfutm1QGtpYIrMmai	image/png
