#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-18-52
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1328298454.509448	CD2DMZ5p9AHOLIPI3	192.168.72.10	1035	4.27.10.125	80	3	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/c6e81ae86c1e1.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5490	200	OK	-	-	-	(empty)	-	-	-	-	-	FIaq8G4NzpTxrZx3Cg	image/jpeg
1328298454.509658	C7C9C25Mgb2I8Rv0l	192.168.72.10	1034	4.27.10.125	80	3	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/fa17bd7ca6fc1.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5231	200	OK	-	-	-	(empty)	-	-	-	-	-	FaQI9h26AxcQSMEKZj	image/jpeg
1328298454.514533	CD2DMZ5p9AHOLIPI3	192.168.72.10	1035	4.27.10.125	80	4	GET	cdn1.pics.gaytube.com	/thumbs/2012-01-31/05b09bf6f3d41.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9442	200	OK	-	-	-	(empty)	-	-	-	-	-	FGXa6D1j2XNE4ZrJwf	image/jpeg
1328298454.521818	C7C9C25Mgb2I8Rv0l	192.168.72.10	1034	4.27.10.125	80	4	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-01/7f58126506441.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5072	200	OK	-	-	-	(empty)	-	-	-	-	-	FtN9wSZJYRhm4Ut3i	image/jpeg
1328298454.523608	CzYS5P2JKy3Kz9Rkqf	192.168.72.10	1040	173.45.161.166	80	1	GET	cdn2.adrocketmedia.com	/ads/misc/tam/iframe/160x700/01/a/index.html	http://ads.trafficjunky.net/ads?zone_id=2836&site_id=37&cache=76453251&millis=1328312734031	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5892	200	OK	-	-	-	(empty)	-	-	-	-	-	FA6jaC2WS9RwUJeJZe	text/html
1328298454.572413	CD2DMZ5p9AHOLIPI3	192.168.72.10	1035	4.27.10.125	80	5	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/c73cef13e8a41.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4905	200	OK	-	-	-	(empty)	-	-	-	-	-	FvHNvg1gE0DBQuIA08	image/jpeg
1328298454.572643	C7C9C25Mgb2I8Rv0l	192.168.72.10	1034	4.27.10.125	80	5	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/03e1e7e0a9631.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6177	200	OK	-	-	-	(empty)	-	-	-	-	-	FYJVGH2IYaUGwoK8A4	image/jpeg
1328298454.509182	CT49jh1cohKSNXinD7	192.168.72.10	1039	66.152.88.27	80	1	GET	ad2.gammae.com	/delivery/afr.php?zoneid=11&cb=INSERT_RANDOM_NUMBER_HERE	http://ads.trafficjunky.net/ads?zone_id=2835&site_id=37&cache=41967514&millis=1328312734015	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4272	200	OK	-	-	-	(empty)	-	-	-	-	-	FIb1mJ13DxUSgLzBz6	text/html
1328298454.607939	CD2DMZ5p9AHOLIPI3	192.168.72.10	1035	4.27.10.125	80	6	GET	cdn1.pics.gaytube.com	/thumbs/2012-01-24/9a99047a2f6a1.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3796	200	OK	-	-	-	(empty)	-	-	-	-	-	FpGh5q13iJQE0jyFj4	image/jpeg
1328298454.634689	C7C9C25Mgb2I8Rv0l	192.168.72.10	1034	4.27.10.125	80	6	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/921d84df84d51.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6293	200	OK	-	-	-	(empty)	-	-	-	-	-	FfBgxv4Lsi1LQaj0H8	image/jpeg
