#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-08-15
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1348782819.518898	CqdNHyRo6n7tEP1s9	192.168.69.10	1041	174.142.63.232	80	1	GET	www.forexpros.com	/ad_iframe_dart.php?width=956&height=40&adunit=FP_EN_site/FP_EN_Strip_Default;sz=956x40	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	613	200	OK	-	-	-	(empty)	-	-	-	-	-	F9225K3W1XTT1Jqkml	text/html
1348782819.518196	CvJw7014jwdOdZrV16	192.168.69.10	1033	146.82.152.235	80	6	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/flags/flags_spain.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	493	200	OK	-	-	-	(empty)	-	-	-	-	-	Fif1aQgFbi1TEKBJd	image/png
1348782819.519629	CcYU212tB6x5HWmj83	192.168.69.10	1032	146.82.152.235	80	4	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/flags/flags_china.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	469	200	OK	-	-	-	(empty)	-	-	-	-	-	FKP7rV1SJl0MphY2u6	image/png
1348782819.519852	ChHtpx1CeLFTbnLtp9	192.168.69.10	1034	146.82.152.235	80	2	GET	c1601132.cdn.cloudfiles.rackspacecloud.com	/alpari_uk_logo_April11_100x33.gif	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3146	200	OK	-	-	-	(empty)	-	-	-	-	-	Fn6NL53mwGKUzJVEO4	image/gif
1348782819.532601	CiTcXk2xtJuWJHvAi1	192.168.69.10	1035	146.82.152.235	80	2	GET	c1601132.cdn.cloudfiles.rackspacecloud.com	/markets_100x33.jpg	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1668	200	OK	-	-	-	(empty)	-	-	-	-	-	FTtykN1uukrWj0Ffx3	image/png
1348782819.517983	CN2cvh1ibPTefCNk51	192.168.69.10	1040	146.82.152.226	80	1	GET	c3352932.r32.cf0.rackcdn.com	/company_logo/45409_1329913170.jpg	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11103	200	OK	-	-	-	(empty)	-	-	-	-	-	F3IKoREedIyod3WJ4	image/jpeg
1348782819.517616	Cj8JHFlFQsufmKae7	192.168.69.10	1039	146.82.152.226	80	1	GET	c3352932.r32.cf0.rackcdn.com	/company_logo/35291_1318942615.jpg	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8787	200	OK	-	-	-	(empty)	-	-	-	-	-	FL0eKzpI1fUvegMNh	image/jpeg
1348782819.620903	CN2cvh1ibPTefCNk51	192.168.69.10	1040	146.82.152.226	80	2	GET	c3352932.r32.cf0.rackcdn.com	/company_logo/58140_1342441526.jpg	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8799	200	OK	-	-	-	(empty)	-	-	-	-	-	F7ED7O27I1wj77zeL6	image/jpeg
1348782819.622479	CiTcXk2xtJuWJHvAi1	192.168.69.10	1035	146.82.152.235	80	3	GET	c1601132.cdn.cloudfiles.rackspacecloud.com	/Broker Buttons/Youtrade FX/NEW - Orange/LearnToTrade_EN.jpg	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4672	200	OK	-	-	-	(empty)	-	-	-	-	-	FvhhNN3PLpBTCDH7f2	image/jpeg
1348782819.622278	CcYU212tB6x5HWmj83	192.168.69.10	1032	146.82.152.235	80	5	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/flags/flags_italy.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	440	200	OK	-	-	-	(empty)	-	-	-	-	-	F4fjL64htBoBuzatD	image/png
