#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-55-29
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327725334.952307	CDqwtT2gymk9uXC8Kk	192.168.104.10	1031	208.64.123.45	80	1	GET	7r8ytzw3e3m782.l95.me	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	178	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FZLmHu4IGYZ46XZCz	text/html
1327725335.177171	CtHLyB2e3T9Bboufn4	192.168.104.10	1032	64.34.154.74	80	1	GET	fasttrackonlinesurveys.com	/d/traf2.com	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1729	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FlMCIShrW8E6DgKOe	text/html
1327725335.524032	Cxqe0Z1ojksPRbY2Wh	192.168.104.10	1034	64.34.154.74	80	1	GET	i.d2f3.com	/oops/index.php?e9cb9458b4b97866bf6dfbbc558dfc77	http://fasttrackonlinesurveys.com/d/traf2.com	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43943	200	OK	-	-	-	(empty)	-	-	-	-	-	FoUbex4XXVQhgRTN1b	text/html
1327725335.319467	CWQDzp1Mxt9taLEPF1	192.168.104.10	1033	209.17.74.150	80	1	GET	i35.tinypic.com	/n4ts0p.png	http://fasttrackonlinesurveys.com/d/traf2.com	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	97370	200	OK	-	-	-	(empty)	-	-	-	-	-	FikfLj4Udufxu6LQNd	image/png
1327725337.466219	CAchYc3xuK2V17w7gg	192.168.104.10	1035	64.34.154.74	80	1	GET	i.d2f3.com	/oops/server_privileges.php?dd6fbea61d7367a4b2ce79086ce1519e=1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	282112	200	OK	-	-	-	(empty)	-	-	-	-	-	FVSafrnnN1d4xDCZb	application/x-dosexec
1327725340.720061	C5cZ62v43AQCKQgc8	192.168.104.10	1040	65.39.172.126	80	1	GET	network.stripthere.com	/mars/iLog.php?dl=5.9&log=Loader: 505^BB	-	IE7.0	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1327725340.760784	CB1rBa4myGvfnScS2c	192.168.104.10	1042	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/r/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2909	200	OK	-	-	-	(empty)	-	-	-	-	-	FQ3d6p2Q2db2eN7vei	application/jar
1327725340.758281	CjARAs4OWniq1RvgN6	192.168.104.10	1043	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5380	200	OK	-	-	-	(empty)	-	-	-	-	-	FlJxpj4W00L1FYBFoi	application/jar
1327725340.762653	CSk35BR5Ey2SeCRod	192.168.104.10	1041	64.34.154.74	80	1	GET	fasttrackonlinesurveys.com	/Java.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2755	200	OK	-	-	-	(empty)	-	-	-	-	-	FcwENe4FB7sQwvzePi	application/zip
1327725340.877154	Cak0zT6HPeIVBOct9	192.168.104.10	1044	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5380	200	OK	-	-	-	(empty)	-	-	-	-	-	F3w0Lw2uC98tiOe1dk	application/jar
1327725340.883478	CL3iTjq5VMijGL6Se	192.168.104.10	1045	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/r/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2909	200	OK	-	-	-	(empty)	-	-	-	-	-	FqP7qB1qCWAfkZ2nxl	application/jar
