#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-12-40
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1355282909.53517	Cen344x4Hs2vkyKAb	192.168.116.10	1031	74.84.138.118	80	1	GET	siiplconsulting.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1355282911.997948	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	1	GET	www.siiplconsulting.com	/wp-content/themes/iblog2/style.css	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	17606	200	OK	-	-	-	(empty)	-	-	-	-	-	FOuzn93jDpSQrdwELe	text/html
1355282912.083583	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	2	GET	www.siiplconsulting.com	/wp-content/themes/iblog2/print.css	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1063	200	OK	-	-	-	(empty)	-	-	-	-	-	FWPtVF4bnOt0dCrUmh	text/html
1355282912.112928	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	3	GET	www.siiplconsulting.com	/wp-content/themes/iblog2/dbx.css	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3101	200	OK	-	-	-	(empty)	-	-	-	-	-	FlejN73zaTffGJdFL9	text/plain
1355282912.995762	Csy8Lw4CBnY2e28a72	192.168.116.10	1038	173.194.76.82	80	1	GET	ie7-js.googlecode.com	/svn/version/2.0(beta3)/IE8.js	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	38172	200	OK	-	-	-	(empty)	-	-	-	-	-	FPxSbh1x5PEeP8Xl8	text/plain
1355282913.115557	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	4	GET	www.siiplconsulting.com	/wp-content/themes/iblog2/belatedpng.js	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5536	200	OK	-	-	-	(empty)	-	-	-	-	-	FSeMmJZu6Yf3iOch8	text/plain
1355282913.184044	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	5	GET	www.siiplconsulting.com	/wp-includes/js/comment-reply.js?ver=20090102	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	786	200	OK	-	-	-	(empty)	-	-	-	-	-	FrnsnV1agP8Fr9sFf2	text/plain
1355282913.239534	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	6	GET	www.siiplconsulting.com	/wp-content/uploads/siiplbanner2.jpg	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	76878	200	OK	-	-	-	(empty)	-	-	-	-	-	FnGSpZ1KfwxnLUP0n7	image/png
1355282913.367548	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	7	GET	www.siiplconsulting.com	/wp-content/themes/iblog2/images/search-button.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	707	200	OK	-	-	-	(empty)	-	-	-	-	-	F4ADn53WgxIZhFQuM6	image/png
1355282913.390482	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	8	GET	www.siiplconsulting.com	/wp-content/themes/iblog2/images/home-icon-trans.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	650	200	OK	-	-	-	(empty)	-	-	-	-	-	Fh0H9pyn2aZnFZau5	image/png
1355282913.416124	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	9	GET	www.siiplconsulting.com	/wp-content/themes/iblog2/images/home-icon-trans.png	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	650	200	OK	-	-	-	(empty)	-	-	-	-	-	FE2OLEfJC83WSTlC8	image/png
1355282913.482793	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	10	GET	www.siiplconsulting.com	/wp-content/themes/iblog2/images/back-gradient.png	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	164	200	OK	-	-	-	(empty)	-	-	-	-	-	FWzBmezgHTiaXeom5	image/png
1355282913.53041	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	11	GET	www.siiplconsulting.com	/wp-content/themes/iblog2/images/navgrad-normal.png	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	150	200	OK	-	-	-	(empty)	-	-	-	-	-	FTyEnw2CBeVGLD1Wna	image/png
1355282913.563716	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	12	GET	www.siiplconsulting.com	/wp-content/themes/iblog2/images/search-button.png	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	707	200	OK	-	-	-	(empty)	-	-	-	-	-	FZnUSP3K8FBKnS5Ji8	image/png
1355282913.600909	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	13	GET	www.siiplconsulting.com	/wp-content/themes/iblog2/images/agradient-30light.gif	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	195	200	OK	-	-	-	(empty)	-	-	-	-	-	FDcsKq3WZzB6gaYrB2	image/gif
1355282913.670832	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	14	GET	www.siiplconsulting.com	/wp-content/themes/iblog2/images/form-field-bg.gif	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3415	200	OK	-	-	-	(empty)	-	-	-	-	-	FtCVD21vPtzMs3R8H4	image/gif
1355282913.700715	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	15	GET	www.siiplconsulting.com	/wp-content/uploads/siiplprime2.jpg	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2328	200	OK	-	-	-	(empty)	-	-	-	-	-	FSmeFm2wnWJ0VOVSfi	image/jpeg
1355282913.725484	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	16	GET	www.siiplconsulting.com	/wp-content/uploads/siiplmsme2.jpg	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3041	200	OK	-	-	-	(empty)	-	-	-	-	-	FzSWZSRbcydmCeWf2	image/jpeg
1355282913.749462	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	17	GET	www.siiplconsulting.com	/wp-content/uploads/siipllearn2.jpg	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2663	200	OK	-	-	-	(empty)	-	-	-	-	-	FqvafF3cVaMxuv41F6	image/jpeg
1355282913.773511	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	18	GET	www.siiplconsulting.com	/wp-content/uploads/siiplsep.jpg	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2312	200	OK	-	-	-	(empty)	-	-	-	-	-	Fv2qFS3UTlIyjKmpPf	image/jpeg
1355282913.797195	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	19	GET	www.siiplconsulting.com	/wp-content/uploads/siipl-valuegenix1.jpg	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2646	200	OK	-	-	-	(empty)	-	-	-	-	-	FdtiRb2zhULNCdB4f5	image/jpeg
1355282913.821108	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	20	GET	www.siiplconsulting.com	/wp-content/uploads/siiplbiz.jpg	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	25648	200	OK	-	-	-	(empty)	-	-	-	-	-	FG9ogI2to20c0RdQOh	image/jpeg
1355282913.886299	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	21	GET	www.siiplconsulting.com	/wp-content/uploads/m2s.jpg	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	24118	200	OK	-	-	-	(empty)	-	-	-	-	-	F5Tqdv1RhIBpsvvPI5	image/jpeg
1355282913.918484	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	22	GET	www.siiplconsulting.com	/wp-content/uploads/tattvaq.jpg	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	24483	200	OK	-	-	-	(empty)	-	-	-	-	-	F2zfVu3qIL2ZPIcE22	image/jpeg
1355282913.949601	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	23	GET	www.siiplconsulting.com	/wp-content/uploads/icici1.jpg	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2872	200	OK	-	-	-	(empty)	-	-	-	-	-	Fk7fFS2l32718VcmUh	image/jpeg
1355282914.003054	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	24	GET	www.siiplconsulting.com	/wp-content/uploads/interface.jpg	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3656	200	OK	-	-	-	(empty)	-	-	-	-	-	FEcQDn1NjRVtgqBPm9	image/jpeg
1355282914.027252	CG8mc53w6Xx5WF0K86	192.168.116.10	1037	74.84.138.118	80	25	GET	www.siiplconsulting.com	/wp-content/uploads/mnext.jpg	http://www.siiplconsulting.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4035	200	OK	-	-	-	(empty)	-	-	-	-	-	FBSNvmPaXWPXpnqUd	image/jpeg
