#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-22-58
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337207626.651897	CUJqk813jelsWHa5r8	192.168.127.10	1037	173.241.250.2	80	4	GET	d1.openx.org	/lg.php?bannerid=766032&campaignid=355991&zoneid=166117&loc=http://www.toytowngermany.com/&cb=7ab896fe6f&r_id=b3e6d0f0e8179545ed472f08d76be6a2&r_ts=m44zx0	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FmbVMNWwKKVzQvrWd	image/gif
1337207626.59765	CuHfaQ3OKB1SnA88nl	192.168.127.10	1032	46.20.229.2	80	2	GET	www.toytowngermany.com	/xtra/logo/tt_logo_global_60.png	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4304	200	OK	-	-	-	(empty)	-	-	-	-	-	F3nBTs3NOVuPZ1rar6	image/png
1337207627.117934	Cohj9r4xyaUp0bQPPi	192.168.127.10	1040	24.143.193.193	80	1	GET	i-cdn.servedbyopenx.com	/273/2732b2df3db1100300d49e826d822014ea3e23e2/df0/df0037c02e5fa995a0ffc629988a9a7f.jpg	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	49545	200	OK	-	-	-	(empty)	-	-	-	-	-	FPg6042TGc2zlPuxk1	image/jpeg
1337207627.153539	CgYdOq4xCpqqxNINUe	192.168.127.10	1041	62.210.160.193	80	1	GET	www.easyvols.org	/formulaire/en/type_a/300x150_mevhcp.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	21628	200	OK	-	-	-	(empty)	-	-	-	-	-	F15Fg02wp2Xo4Sk3ac	text/html
1337207627.117642	CcwLuq2ttpMCKHPVOi	192.168.127.10	1039	24.143.193.193	80	1	GET	i-cdn.servedbyopenx.com	/273/2732b2df3db1100300d49e826d822014ea3e23e2/a3d/a3d0e8845d94b0a58e4486d44fb504e5.gif	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	55511	200	OK	-	-	-	(empty)	-	-	-	-	-	FQk0xK38rqrOJP9qx8	image/gif
1337207627.153967	CuHfaQ3OKB1SnA88nl	192.168.127.10	1032	46.20.229.2	80	3	GET	www.toytowngermany.com	/xtra/frontpages2/images/1845700.jpg	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3860	200	OK	-	-	-	(empty)	-	-	-	-	-	FNQALt4uLkflVvDMU6	image/jpeg
1337207627.161731	CWEtJ33apgP3LMFJll	192.168.127.10	1031	46.20.229.2	80	4	GET	www.toytowngermany.com	/xtra/frontpages2/images/2713374.jpg	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3266	200	OK	-	-	-	(empty)	-	-	-	-	-	F34DRt47yAMzwvcPo	image/jpeg
1337207627.273476	CgYdOq4xCpqqxNINUe	192.168.127.10	1041	62.210.160.193	80	2	GET	www.easyvols.org	/base/js/pileForms.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11723	200	OK	-	-	-	(empty)	-	-	-	-	-	FCdULoRIZ67ShZDu5	text/plain
1337207627.273106	CuHfaQ3OKB1SnA88nl	192.168.127.10	1032	46.20.229.2	80	4	GET	www.toytowngermany.com	/xtra/frontpages2/images/2759613.jpg	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3322	200	OK	-	-	-	(empty)	-	-	-	-	-	Faz2NW1CGl8LvZ86oh	image/jpeg
1337207627.295352	CWEtJ33apgP3LMFJll	192.168.127.10	1031	46.20.229.2	80	5	GET	www.toytowngermany.com	/xtra/frontpages2/images/2708131.jpg	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3320	200	OK	-	-	-	(empty)	-	-	-	-	-	FApz6w3w8dkgSIfBZd	image/jpeg
