#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-04-41
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1315320701.85822	CptS4X1tDZtVCug2P1	192.168.16.10	1030	95.168.165.225	80	1	GET	sexurekavids.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	244	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FRrqL61ufjy9LdjJf9	text/html
1315320702.081811	CseTft3dCQTYqNP6o9	192.168.16.10	1031	109.236.82.48	80	1	GET	sinfulcelebsporno.com	/?site=3	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7391	200	OK	-	-	-	(empty)	-	-	-	-	-	FtNpeP3PrkyORwU4Fh	text/html
1315320703.862287	CFZWK04JBPunBoj411	192.168.16.10	1038	109.236.82.48	80	1	GET	sinfulcelebsporno.com	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8293	200	OK	-	-	-	(empty)	-	-	-	-	-	FhkHzyuhlOC4G7epj	application/jar
1315320703.857835	C3Ne8t2B8Hek4Jn7o7	192.168.16.10	1036	109.236.82.48	80	1	GET	1844204080	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11944	200	OK	-	-	-	(empty)	-	-	-	-	-	Fe4CzpuJ1pBw62hMc	application/x-java-applet
1315320703.863738	CmTvzZ2T1oWdLqQmg6	192.168.16.10	1039	109.236.82.48	80	1	GET	1844204080	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11944	200	OK	-	-	-	(empty)	-	-	-	-	-	FyhDoK1GZzaltEhxMd	application/x-java-applet
1315320703.855684	CeApdF4BYwIjQjS6W9	192.168.16.10	1037	109.236.82.48	80	1	GET	sinfulcelebsporno.com	/dl/bingo.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19391	200	OK	-	-	-	(empty)	-	-	-	-	-	Fo0nlM390N71tAO5K7	application/jar
1315320704.346467	C4zVJ64R3iuaPiuxa4	192.168.16.10	1040	109.236.82.48	80	1	GET	sinfulcelebsporno.com	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8293	200	OK	-	-	-	(empty)	-	-	-	-	-	FU5vPY2Bz602d1FQjb	application/jar
1315320704.454363	C377V016gyvNZaB2Yi	192.168.16.10	1043	109.236.82.48	80	1	GET	1844204080	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FM8rpD3562ht6rdudl	application/x-java-applet
1315320704.45891	CJUxQM20pSFFqPi2Tj	192.168.16.10	1041	109.236.82.48	80	1	GET	1844204080	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	Frvvqt1ZzUXM5in8Fj	application/x-java-applet
1315320704.45853	CgTQKr1M2CvZi6ppId	192.168.16.10	1042	109.236.82.48	80	1	GET	sinfulcelebsporno.com	/dl/bingo.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19391	200	OK	-	-	-	(empty)	-	-	-	-	-	FmTCNL3LjEE1k6uBH4	application/jar
1315320704.687467	C1l8182eXv0untFN7e	192.168.16.10	1044	109.236.82.48	80	1	GET	sinfulcelebsporno.com	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8293	200	OK	-	-	-	(empty)	-	-	-	-	-	FP5O1e36vJ2viIJXQh	application/jar
