#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-36-32
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1321727147.246443	Cm6QDP1nUXsmcjb6d8	192.168.63.10	1036	183.81.161.42	80	11	GET	www.newtechnosite.com	/wp-content/themes/NewsPro/styles/grey/icons/twitter.png	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2481	200	OK	-	-	-	(empty)	-	-	-	-	-	FQ1kgs1zSu7ZBXPiFl	image/png
1321727147.487314	Cm6QDP1nUXsmcjb6d8	192.168.63.10	1036	183.81.161.42	80	12	GET	www.newtechnosite.com	/wp-content/themes/NewsPro/styles/grey/icons/facebook.png	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5649	200	OK	-	-	-	(empty)	-	-	-	-	-	FsfMTr1djVT1xI1FNh	image/png
1321727146.9547	ClMa1y1tnwGlChmUc9	192.168.63.10	1037	183.81.161.42	80	2	GET	www.newtechnosite.com	/wp-content/themes/NewsPro/styles/grey/bg.gif	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15794	200	OK	-	-	-	(empty)	-	-	-	-	-	FsFMuK31MEuiI09Ie2	image/gif
1321727147.37277	Cz0uS28SnbqHFiEU4	192.168.63.10	1040	91.230.111.10	80	1	GET	t28.ru.tf	/2move.php	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	99780	200	OK	-	-	-	(empty)	-	-	-	-	-	FyFEGu3np52J9UZEl6	text/html
1321727166.261111	Cz0uS28SnbqHFiEU4	192.168.63.10	1040	91.230.111.10	80	2	GET	t28.ru.tf	/w.php?f=28&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	93184	200	OK	-	-	-	(empty)	-	-	-	-	-	Fa6mFQ29BQzSfvmnui	application/x-dosexec
1321727167.185764	Cz0uS28SnbqHFiEU4	192.168.63.10	1040	91.230.111.10	80	3	GET	t28.ru.tf	/w.php?f=32&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	424184	200	OK	-	-	-	(empty)	-	-	-	-	-	F8gBEcNAEC7FySPO8	application/x-dosexec
1321727169.407045	Cz0uS28SnbqHFiEU4	192.168.63.10	1040	91.230.111.10	80	4	GET	t28.ru.tf	/content/2ddfp.php?f=28::32	http://t28.ru.tf/2move.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	72290	200	OK	-	-	-	(empty)	-	-	-	-	-	FWxFdBsvWLgw7UCF4	application/pdf
1321727187.582933	Cz0uS28SnbqHFiEU4	192.168.63.10	1040	91.230.111.10	80	5	GET	t28.ru.tf	/w.php?f=28&e=6	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	93184	200	OK	-	-	-	(empty)	-	-	-	-	-	Fz9bmo3y2YTD9EZlfa	application/x-dosexec
1321727188.540388	CMCUmp2oBewO5TvGOf	192.168.63.10	1046	183.81.161.42	80	1	GET	www.newtechnosite.com	/wp-content/themes/NewsPro/timthumb.php?src=http://www.newtechnosite.com/wp-content/uploads/2011/11/googlevsfacebook1.jpg&q=90&w=430&h=250&zc=1	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19540	200	OK	-	-	-	(empty)	-	-	-	-	-	FL9lIC3ijtQfwIvcQ3	image/jpeg
1321727188.540576	C3arhh3XHRwXXfl47k	192.168.63.10	1047	183.81.161.42	80	1	GET	www.newtechnosite.com	/wp-content/themes/NewsPro/timthumb.php?src=http://www.newtechnosite.com/wp-content/uploads/2011/11/cloud11.jpg&q=90&w=430&h=250&zc=1	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	34192	200	OK	-	-	-	(empty)	-	-	-	-	-	FT2XFi3oKEI71rmFVi	image/jpeg
1321727192.142815	Cz0uS28SnbqHFiEU4	192.168.63.10	1040	91.230.111.10	80	6	GET	t28.ru.tf	/content/field.swf	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1365	200	OK	-	-	-	(empty)	-	-	-	-	-	FSdjko1znkYiUjBVb7	application/x-shockwave-flash
1321727192.698846	C1cyY74k2X2KUKvpMi	192.168.63.10	1048	91.230.111.9	80	1	OPTIONS	91.230.111.9	/	-	Microsoft-WebDAV-MiniRedir/5.1.2600	0	166	405	Not Allowed	-	-	-	(empty)	-	-	-	-	-	Fy8akz4JUwQn3fe3yg	text/html
1321727193.071903	CplZlx4CUdnUGV1wyh	192.168.63.10	1050	183.81.161.42	80	1	GET	www.newtechnosite.com	/wp-content/themes/NewsPro/timthumb.php?src=http://www.newtechnosite.com/wp-content/uploads/2011/11/aisee-blu-ray-converter-ul.jpg&q=90&w=430&h=250&zc=1	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	27617	200	OK	-	-	-	(empty)	-	-	-	-	-	FVuBx74NNfVfcO6wm6	image/jpeg
1321727193.071664	CS88oQ3ja4NXe4jAIl	192.168.63.10	1049	183.81.161.42	80	1	GET	www.newtechnosite.com	/wp-content/themes/NewsPro/timthumb.php?src=http://www.newtechnosite.com/wp-content/uploads/2011/11/11.jpg&q=90&w=430&h=250&zc=1	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	42268	200	OK	-	-	-	(empty)	-	-	-	-	-	FYycdc3mGTg20oOMj4	image/jpeg
1321727216.360852	CfN3XmeAWaQg9uX44	192.168.63.10	1052	183.81.161.42	80	1	GET	www.newtechnosite.com	/wp-content/themes/NewsPro/timthumb.php?src=http://www.newtechnosite.com/wp-content/uploads/2011/11/googlevsfacebook1.jpg&q=90&w=60&h=34&zc=1	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1934	200	OK	-	-	-	(empty)	-	-	-	-	-	FTaq5h4ohmaG9TjxHi	image/jpeg
1321727218.890274	CAdPEFtUrv3QGLFOa	192.168.63.10	1053	183.81.161.42	80	1	GET	www.newtechnosite.com	/wp-content/themes/NewsPro/timthumb.php?src=http://www.newtechnosite.com/wp-content/uploads/2011/11/cloud11.jpg&q=90&w=60&h=34&zc=1	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2168	200	OK	-	-	-	(empty)	-	-	-	-	-	FDTeiQcwBBH1KBiEk	image/jpeg
#close	2014-04-03-10-36-32
